Superkindom	Phylum	Class	distance	value
Bacteria	Proteobacteria	Alphaproteobacteria	codon_distance	0.009587598328955936
Bacteria	Proteobacteria	Alphaproteobacteria	codon_distance	0.008438819444828412
Bacteria	Proteobacteria	Alphaproteobacteria	codon_distance	0.022214830837868463
Bacteria	Proteobacteria	Alphaproteobacteria	codon_distance	0.0184639841222456
Bacteria	Proteobacteria	Alphaproteobacteria	codon_distance	0.005880611618805452
Bacteria	Proteobacteria	Alphaproteobacteria	codon_distance	0.0043378576535064665
Bacteria	Proteobacteria	Alphaproteobacteria	codon_distance	0.015746413308675114
Bacteria	Proteobacteria	Alphaproteobacteria	codon_distance	0.004270675086551974
Bacteria	Proteobacteria	Alphaproteobacteria	codon_distance	0.024291602082117243
Bacteria	Proteobacteria	Alphaproteobacteria	codon_distance	0.01302002934095717
Bacteria	Proteobacteria	Alphaproteobacteria	codon_distance	0.0393736548108756
Bacteria	Proteobacteria	Alphaproteobacteria	codon_distance	0.020174241988441043
Bacteria	Proteobacteria	Alphaproteobacteria	codon_distance	0.03330601474983543
Bacteria	Proteobacteria	Alphaproteobacteria	codon_distance	0.04283503962262056
Bacteria	Proteobacteria	Alphaproteobacteria	codon_distance	0.008133621004477455
Bacteria	Proteobacteria	Alphaproteobacteria	codon_distance	0.051423007460316035
Bacteria	Proteobacteria	Alphaproteobacteria	codon_distance	0.00510100715779106
Bacteria	Proteobacteria	Alphaproteobacteria	codon_distance	0.025323030600998393
Bacteria	Proteobacteria	Alphaproteobacteria	codon_distance	0.012888018863660927
Bacteria	Proteobacteria	Alphaproteobacteria	codon_distance	0.005324002938272129
Bacteria	Proteobacteria	Alphaproteobacteria	codon_distance	0.0027621114169299726
Bacteria	Proteobacteria	Alphaproteobacteria	codon_distance	0.006124338556780685
Bacteria	Proteobacteria	Alphaproteobacteria	codon_distance	0.020442855578071635
Bacteria	Proteobacteria	Alphaproteobacteria	codon_distance	0.0006545871473600485
Bacteria	Proteobacteria	Alphaproteobacteria	codon_distance	0.010811878839729306
Bacteria	Proteobacteria	Alphaproteobacteria	codon_distance	0.016006215697461617
Bacteria	Proteobacteria	Alphaproteobacteria	codon_distance	0.013049740304370986
Bacteria	Proteobacteria	Alphaproteobacteria	codon_distance	0.012950634978907723
Bacteria	Proteobacteria	Alphaproteobacteria	codon_distance	0.0365876394646151
Bacteria	Proteobacteria	Alphaproteobacteria	codon_distance	0.0032209362035090193
Bacteria	Proteobacteria	Alphaproteobacteria	codon_distance	0.05312229374681099
Bacteria	Proteobacteria	Alphaproteobacteria	codon_distance	0.007784325467501991
Bacteria	Proteobacteria	Alphaproteobacteria	codon_distance	0.010510279378763124
Bacteria	Proteobacteria	Alphaproteobacteria	codon_distance	0.007561375490832718
Bacteria	Proteobacteria	Alphaproteobacteria	codon_distance	0.004797414410616969
Bacteria	Proteobacteria	Alphaproteobacteria	codon_distance	0.006675298742675044
Bacteria	Proteobacteria	Alphaproteobacteria	codon_distance	0.006585847782748904
Bacteria	Proteobacteria	Alphaproteobacteria	codon_distance	0.008144171612211811
Bacteria	Proteobacteria	Alphaproteobacteria	codon_distance	0.0926732974066671
Bacteria	Proteobacteria	Alphaproteobacteria	codon_distance	0.02084318966805573
Bacteria	Proteobacteria	Alphaproteobacteria	codon_distance	0.00829245798215975
Bacteria	Proteobacteria	Alphaproteobacteria	codon_distance	0.010681672469152933
Bacteria	Proteobacteria	Alphaproteobacteria	codon_distance	0.005613625046881425
Bacteria	Proteobacteria	Alphaproteobacteria	codon_distance	0.010891573238715077
Bacteria	Proteobacteria	Alphaproteobacteria	codon_distance	0.00492006440509183
Bacteria	Proteobacteria	Alphaproteobacteria	codon_distance	0.016234469940908238
Bacteria	Proteobacteria	Alphaproteobacteria	codon_distance	0.015505967672578875
Bacteria	Proteobacteria	Alphaproteobacteria	codon_distance	0.006511944676784674
