Sample_type	Host_group	sample	host_GC	host_protein_density	host_NARSC	host_CARSC	host_nucl	host_growth
Bathypelagic-Sediment	With_prophage	Sediment	0.551004548078779	0.9177446414818454	0.3504	2.8889	4709371.0	NA
Bathypelagic-Sediment	With_prophage	Sediment	0.4281204642663595	0.9241779766570036	0.3261	3.0769	4565138.0	3.69522699833483
Bathypelagic-Sediment	With_prophage	Sediment	0.33140335126876974	0.9415207544598508	0.3222	3.0977	4182595.0	3.79453839078142
Bathypelagic-Sediment	With_prophage	Sediment	0.6295547343149633	0.8219097224912917	0.3362	2.8921	6065143.0	NA
Bathypelagic-Sediment	With_prophage	Sediment	0.5468613921934338	0.9264168223055403	0.3423	2.8599	4719258.0	2.5943705923296
Bathypelagic-Sediment	With_prophage	Sediment	0.6023879753047928	0.9308352579119462	0.3679	2.8954	4888083.0	4.41594052523756
Bathypelagic-Sediment	With_prophage	Sediment	0.6465372793293997	0.9627186793177708	0.3593	2.8023	3766417.0	3.04138846690187
Bathypelagic-Sediment	With_prophage	Sediment	0.415969949403061	0.8389479915724326	0.3295	2.9535	4883497.0	4.63486494150379
Bathypelagic-Sediment	With_prophage	Sediment	0.6568747272471968	0.9305657371051372	0.3533	2.8028	5676117.0	NA
Bathypelagic-Sediment	With_prophage	Sediment	0.3984698363953501	0.9021204014528789	0.3334	2.9872	4300978.0	1.54569719036198
Bathypelagic-Sediment	With_prophage	Sediment	0.44023070845998485	0.8620211974927725	0.3334	2.9209	3013847.0	4.92501231745404
Bathypelagic-Sediment	With_prophage	Sediment	0.70744274416727	0.9004650598993255	0.3456	2.7497	3695868.0	1.17497223782537
Bathypelagic-Sediment	With_prophage	Sediment	0.5436539409745061	0.9286880453707491	0.3532	2.897	4979067.0	NA
Bathypelagic-Sediment	With_prophage	Sediment	0.3742133392866554	0.9698364577085261	0.3192	3.0722	4421364.0	0.536742105624713
Bathypelagic-Sediment	With_prophage	Sediment	0.4497840142483762	0.8657725961800908	0.3235	2.9412	3920198.0	2.68127461882473
Bathypelagic-Sediment	With_prophage	Sediment	0.6799067793101494	0.9507290084569775	0.3497	2.8044	4589110.0	4.60968424814016
Bathypelagic-Sediment	With_prophage	Sediment	0.546888556281042	0.9256823542304659	0.3424	2.8599	4717601.0	2.5666031481701
Bathypelagic-Sediment	With_prophage	Sediment	0.5670994279244274	0.9877643599985365	0.3913	3.0029	2706111.0	2.3239015369255
Bathypelagic-Sediment	With_prophage	Sediment	0.4163378149675215	0.8702363741571993	0.33	2.9805	4410296.0	1.17264091989752
Bathypelagic-Sediment	With_prophage	Sediment	0.6554781608460875	0.8809406437713388	0.326	2.7446	4381680.0	3.27895057034298
Bathypelagic-Sediment	With_prophage	Sediment	0.6042952181995016	0.9590649332711797	0.3354	2.8149	3475260.0	3.94497681289595
Bathypelagic-Sediment	With_prophage	Sediment	0.37047059715837244	0.886947327667889	0.3294	3.0885	3533468.0	2.88418868706519
Bathypelagic-Sediment	With_prophage	Sediment	0.701845392150141	0.9202746136166218	0.3729	2.7362	5228874.0	3.88666717674648
Bathypelagic-Sediment	With_prophage	Sediment	0.38131573863604007	1.0057784072167228	0.322	3.0811	4565618.0	0.67304366361502
Bathypelagic-Sediment	With_prophage	Sediment	0.5013843410994892	0.9349191107850489	0.3697	2.9286	2966032.0	2.8781385944437
Bathypelagic-Sediment	With_prophage	Sediment	0.6114904955499396	0.9675273997960562	0.3501	2.7952	3276393.0	4.08806700102795
Bathypelagic-Sediment	With_prophage	Sediment	0.6254243557760193	0.935152159614755	0.3514	2.8004	4141572.0	2.49204102426033
Bathypelagic-Sediment	With_prophage	Sediment	0.4388884359534141	0.9778373639557975	0.3256	3.0337	3974076.0	0.347165922085477
Bathypelagic-Sediment	With_prophage	Sediment	0.39598393123556486	0.9585083717836727	0.3159	3.0532	3742273.0	0.277920241801721
Bathypelagic-Sediment	With_prophage	Sediment	0.6033254967945724	0.9503887433474294	0.3681	2.8929	4977963.0	NA
Bathypelagic-Sediment	With_prophage	Sediment	0.6140151631528669	0.925175248513837	0.3707	2.8949	5609748.0	2.59169112010834
Bathypelagic-Sediment	With_prophage	Sediment	0.6430554192230058	0.9514489478753465	0.3542	2.8103	4013878.0	NA
Bathypelagic-Sediment	With_prophage	Sediment	0.7084066707253267	0.8969704708340773	0.3537	2.7686	5701414.0	NA
Bathypelagic-Sediment	With_prophage	Sediment	0.4071076759189438	0.8867976793216479	0.3288	2.9858	4678632.0	1.81670630835066
Bathypelagic-Sediment	With_prophage	Sediment	0.6543076975556277	0.9207482229585741	0.3609	2.7986	3781707.0	NA
Bathypelagic-Sediment	With_prophage	Sediment	0.37629109184947274	0.9113509726819901	0.3273	3.0484	3685737.0	3.26975322828892
Bathypelagic-Sediment	With_prophage	Sediment	0.5707614526991694	0.9079682253269673	0.3592	2.9029	4507867.0	NA
Bathypelagic-Sediment	With_prophage	Sediment	0.6138871437214636	0.9119157648644326	0.3697	2.8952	5594815.0	2.55957745918302
Bathypelagic-Sediment	With_prophage	Sediment	0.6633449709435725	0.9559818919497063	0.348	2.8012	5053443.0	NA
